,$,wind_direction,dew_point,screen_relative_humidity,pressure,wind_speed,sea_temperature,temperature,wave_height,wave_period,swell_height2,periodSchedule,modelCode,surf_max,surf_min,swell_period2,modelRun,swell_height1,swell_direction3,swell_period3,swell_period1,swell_height3,swell_direction2,dateStamp,swell_direction1
2016-05-16T18:00:00+00:00,1080,S,12.2,94.9,1021,15,12.8,13.0,1.8,6.0,,,,,,,,,,,,,,,
2016-05-16T19:00:00+00:00,1140,S,12.5,94.8,1021,12,12.9,13.3,1.9,6.0,,,,,,,,,,,,,,,
2016-05-16T20:00:00+00:00,1200,S,12.5,94.8,1021,12,12.9,13.3,1.7,6.0,,,,,,,,,,,,,,,
2016-05-16T21:00:00+00:00,1260,S,12.4,95.5,1021,11,12.9,13.1,1.8,6.0,,,,,,,,,,,,,,,
2016-05-16T22:00:00+00:00,1320,S,12.7,96.8,1020,12,12.9,13.2,1.7,6.0,,,,,,,,,,,,,,,
2016-05-16T23:00:00+00:00,1380,S,12.7,97.4,1020,10,12.9,13.1,1.7,7.0,,,,,,,,,,,,,,,
2016-05-17T00:00:00+00:00,0,W,12.3,97.3,1019,12,12.9,12.7,1.7,7.0,,,,,,,,,,,,,,,
2016-05-17T01:00:00+00:00,60,W,12.2,97.4,1019,10,12.9,12.6,1.9,7.0,3.3,0100,undefined,2.73,1.73,10.2,2016051612.0,4.2,21.0,5.2,5.7,2.5,289.0,"May 17, 2016 01:00:00",342.0
2016-05-17T02:00:00+00:00,120,W,12.1,96.1,1019,12,12.8,12.7,1.8,7.0,,,,,,,,,,,,,,,
2016-05-17T03:00:00+00:00,180,W,11.6,93.6,1018,9,12.7,12.6,1.8,7.0,,,,,,,,,,,,,,,
2016-05-17T04:00:00+00:00,240,W,11.1,91.1,1018,10,12.8,12.5,1.8,7.0,,,,,,,,,,,,,,,
2016-05-17T05:00:00+00:00,300,WSW,10.7,89.3,1018,10,12.9,12.4,2.1,8.0,,,,,,,,,,,,,,,
2016-05-17T06:00:00+00:00,360,SW,10.8,88.7,1018,10,12.9,12.6,1.9,8.0,,,,,,,,,,,,,,,
2016-05-17T07:00:00+00:00,420,SW,11.4,91.1,1017,10,12.9,12.8,1.9,7.0,3.7,0700,undefined,3.21,2.21,10.2,2016051700.0,4.9,23.0,5.7,5.7,3.0,288.0,"May 17, 2016 07:00:00",341.0
2016-05-17T08:00:00+00:00,480,SW,11.3,90.5,1018,12,13.0,12.8,1.9,8.0,,,,,,,,,,,,,,,
2016-05-17T09:00:00+00:00,540,SSW,11.3,89.3,1017,12,13.0,13.0,1.8,7.0,,,,,,,,,,,,,,,
2016-05-17T10:00:00+00:00,600,SSW,11.6,89.9,1017,14,13.0,13.2,1.8,7.0,,,,,,,,,,,,,,,
2016-05-17T11:00:00+00:00,660,SSW,12.1,91.8,1016,14,13.0,13.4,1.7,6.0,,,,,,,,,,,,,,,
2016-05-17T12:00:00+00:00,720,SSW,12.2,94.9,1016,17,13.0,13.0,2.0,6.0,,,,,,,,,,,,,,,
2016-05-17T13:00:00+00:00,780,SW,12.5,96.1,1015,16,13.0,13.1,1.8,6.0,4.3,1300,undefined,3.37,2.43,10.2,2016051700.0,5.1,22.0,5.7,5.7,3.2,290.0,"May 17, 2016 13:00:00",341.0
2016-05-17T14:00:00+00:00,840,W,11.6,92.9,1015,10,12.9,12.7,2.1,6.0,,,,,,,,,,,,,,,
2016-05-17T15:00:00+00:00,900,WSW,11.6,91.1,1014,11,13.0,13.0,2.0,6.0,,,,,,,,,,,,,,,
2016-05-17T16:00:00+00:00,960,W,10.6,83.6,1014,12,12.8,13.3,1.9,6.0,,,,,,,,,,,,,,,
2016-05-17T17:00:00+00:00,1020,W,9.9,81.3,1013,16,13.0,13.0,2.0,6.0,,,,,,,,,,,,,,,